age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
35,management,single,tertiary,0,747,0,0,cellular,23,feb,141,2,176,3,failure,0
30,admin.,single,tertiary,0,261,0,0,cellular,19,oct,233,1,137,20,failure,0
33,blue-collar,single,secondary,0,22,0,0,cellular,30,jan,76,2,207,1,failure,0
58,technician,married,tertiary,0,883,0,0,cellular,18,aug,543,1,78,2,failure,0
35,housemaid,married,tertiary,0,11219,0,0,cellular,12,aug,699,2,79,1,failure,0
65,retired,divorced,primary,0,1840,0,0,cellular,1,jun,383,2,188,5,failure,0
33,technician,married,secondary,0,6699,0,0,cellular,9,nov,425,1,462,1,failure,0
50,management,married,tertiary,0,4,0,0,cellular,17,nov,223,1,96,2,failure,0
43,blue-collar,married,secondary,0,130,0,0,cellular,5,may,156,1,337,3,failure,0
43,management,divorced,tertiary,0,36,0,0,cellular,26,may,118,1,102,2,failure,0
32,management,single,tertiary,0,12607,0,0,cellular,14,aug,203,5,84,1,failure,0
45,unemployed,divorced,primary,0,757,0,0,cellular,20,apr,103,1,325,4,failure,0
63,retired,married,secondary,0,2747,0,0,cellular,11,sep,113,1,80,1,failure,0
40,management,single,tertiary,0,1509,0,0,cellular,12,may,333,1,58,3,failure,0
59,management,married,tertiary,0,2764,0,0,cellular,24,dec,237,1,206,2,failure,0
33,technician,married,tertiary,0,8023,0,0,cellular,30,nov,107,1,105,3,failure,0
27,entrepreneur,single,tertiary,0,81,0,0,cellular,5,feb,197,1,199,3,failure,0
35,entrepreneur,married,tertiary,0,0,0,0,cellular,5,may,74,1,168,4,failure,0
25,student,single,secondary,0,1790,0,0,cellular,17,apr,224,1,322,3,failure,0
37,management,divorced,secondary,0,414,0,0,cellular,29,jan,293,2,162,4,failure,0
34,student,single,unknown,0,1281,0,0,cellular,25,aug,279,1,117,1,failure,0
36,blue-collar,married,secondary,0,-461,0,0,cellular,11,may,254,2,353,1,failure,0
41,management,married,tertiary,0,-29,0,0,cellular,29,jan,41,2,266,2,failure,0
45,management,divorced,tertiary,0,2096,0,0,cellular,21,nov,127,1,100,2,failure,0
59,management,married,tertiary,0,1831,0,0,cellular,17,feb,122,1,92,1,failure,0
32,technician,married,tertiary,0,4089,0,0,cellular,26,may,114,7,287,3,failure,0
59,self-employed,married,tertiary,0,185,0,0,cellular,22,jun,177,5,138,1,failure,0
39,blue-collar,married,unknown,0,0,0,0,cellular,2,feb,731,1,193,3,failure,0
40,management,single,tertiary,0,1509,0,0,cellular,15,mar,144,2,124,1,failure,0
