Allocation_Subcategory,City,College,Gift_Allocation,Amount,Year,Major,Prospect ID,State
NAT,Albuquerque,ART,Scholarship,9062,2010,Global Studies in the Arts and Humanities,1613,NM
NUR,Albuquerque,COM,Scholarship,3870,2010,Advertising,1059,NM
PAR,Albuquerque,ENG,Campus_Resource,3057,2010,Engineering-No Major,1052,NM
DIV,Alexandria,POL,Endowment,2130,2010,College of Political Science,1413,VA
DIV,Alexandria,SOC,Endowment,6230,2010,Urban and Regional Planning,1670,VA
FCE,Alexandria,NAT,Endowment,7360,2010,Environmental Geosciences,1396,VA
ISF,Alexandria,ART,Scholarship,1563,2010,Chinese,1132,VA
MSM,Alexandria,ENG,Campus_Resource,6032,2010,Applied Engineering Sciences,1105,VA
TST,Alexandria,NAT,Endowment,5288,2010,Actuarial Science,1025,VA
TST,Alexandria,NUR,Endowment,2002,2010,Prenursing,1319,VA
ANN,Amarillo,AGR,Endowment,645,2010,Agribusiness Management,1380,TX
ATH,Amarillo,COM,Campus_Resource,3766,2010,Media and Information,1412,TX
DIV,Amarillo,BIZ,Endowment,2065,2010,Accounting,1734,TX
MUS,Amarillo,ART,Scholarship,1186,2010,Interdisciplinary Humanities,1381,TX
TST,Amarillo,NUR,Endowment,3862,2010,Summer Research Program,1312,TX
ANN,Anaheim,BIZ,Endowment,4912,2010,Supply Chain Management,1481,CA
MUS,Anaheim,BIZ,Scholarship,2045,2010,Supply Chain Management,1307,CA
ALM,Atlanta,NAT,Campus_Resource,5229,2010,Microbiology,1327,GA
ANN,Atlanta,NAT,Endowment,7392,2010,Earth Science Interdepartmental,1788,GA
ART,Atlanta,SOC,Scholarship,784,2010,Interdisciplinary Studies in Social Science - Social Science Education,1008,GA
DIV,Atlanta,NAT,Endowment,5656,2010,Computational Mathematics,1477,GA
ENG,Atlanta,BIZ,Scholarship,4251,2010,Accounting,1088,GA
FCE,Atlanta,SOC,Endowment,6966,2010,World Politics,1440,GA
TST,Atlanta,AGR,Endowment,2048,2010,Agribusiness Management,1254,GA
TST,Atlanta,POL,Endowment,5188,2010,College of Political Science,1176,GA
ANN,Austin,NAT,Endowment,7234,2010,Environmental Biology/Plant Biol,1100,TX
FCE,Austin,ENG,Endowment,2633,2010,Applied Engineering Sciences,1315,TX
FCE,Austin,MUS,Endowment,6529,2010,Composition,1394,TX
ISF,Austin,ART,Scholarship,6586,2010,Apparel and Textiles,1289,TX
TST,Austin,NAT,Endowment,5779,2010,Biochemistry and Molecular Biology,1098,TX
ART,Baton_Rouge,EDU,Scholarship,8591,2010,Education,1365,LA
DIV,Baton_Rouge,ART,Endowment,6182,2010,Arabic,1133,LA
ALM,Birmingham,SOC,Campus_Resource,6325,2010,World Politics,1453,AL
ART,Birmingham,ART,Scholarship,2966,2010,Women's and Gender Studies,1680,AL
NAT,Birmingham,NAT,Scholarship,8571,2010,Environmental Biology/Microbiology,1085,AL
ANN,Boston,AGR,Endowment,6906,2010,Environmental Studies and Agriscience,1483,MA
ANN,Boston,BIZ,Endowment,7047,2010,Supply Chain Management,1061,MA
ANN,Boston,SOC,Endowment,6384,2010,Interdisciplinary Studies in Social Science,1652,MA
ART,Boston,ENG,Scholarship,4633,2010,Environmental Engineering,1292,MA
ART,Boston,SOC,Scholarship,2838,2010,Criminal Justice,1438,MA
ART,Boston,SOC,Scholarship,7595,2010,Political Science-Prelaw,1810,MA
DIV,Boston,AGR,Endowment,3147,2010,Fisheries and Wildlife,1384,MA
FCE,Boston,NAT,Endowment,4620,2010,Human Biology,1361,MA
HON,Boston,BIZ,Campus_Resource,6493,2010,Accounting,1340,MA
LIB,Boston,MUS,Campus_Resource,6246,2010,Composition,1159,MA
NAT,Boston,AGR,Scholarship,8403,2010,Interior Design,1836,MA
TST,Boston,AGR,Endowment,9735,2010,Natural Resource Recreation and Tourism,1493,MA
TST,Boston,COM,Endowment,4012,2010,Media and Information,1474,MA
TST,Boston,SOC,Endowment,6979,2010,History,1437,MA
ALM,Cedar_Rapids,SOC,Campus_Resource,6229,2010,History Education,1119,IA
ANN,Cedar_Rapids,NAT,Endowment,6171,2010,Earth Science Interdepartmental,1234,IA
ART,Cedar_Rapids,MUS,Scholarship,9831,2010,Music Performance,1640,IA
EDU,Cedar_Rapids,ART,Scholarship,8272,2010,English,1401,IA
FCE,Cedar_Rapids,SOC,Endowment,5013,2010,Political Science,1729,IA
MSM,Cedar_Rapids,AGR,Campus_Resource,4539,2010,Horticulture,1348,IA
NAT,Cedar_Rapids,NAT,Scholarship,5165,2010,Statistics,1112,IA
TST,Cedar_Rapids,NAT,Endowment,8257,2010,Environmental Biology/Plant Biol,1023,IA
AGR,Charleston,ART,Scholarship,6657,2010,Studio Art,1480,SC
DIV,Charleston,COM,Endowment,998,2010,Media and Information,1276,SC
DIV,Charleston,ENG,Endowment,6519,2010,Biosystems Engineering,1439,SC
MSM,Charleston,SOC,Campus_Resource,9970,2010,Public Policy,1420,SC
ALM,Charlotte,AGR,Campus_Resource,5020,2010,Horticulture,1495,NC
ANN,Charlotte,BIZ,Endowment,3641,2010,Hospitality Business,1084,NC
AGR,Chicago,ART,Scholarship,3336,2010,Philosophy,1168,IL
AGR,Chicago,ART,Scholarship,960,2010,Interdisciplinary Humanities,1164,IL
AGR,Chicago,SOC,Scholarship,1384,2010,Urban and Regional Planning,1499,IL
ANN,Chicago,BIZ,Endowment,2764,2010,Finance,1383,IL
ANN,Chicago,NAT,Endowment,6406,2010,Environmental Biology/Zoology,1660,IL
ART,Chicago,AGR,Scholarship,6516,2010,Horticulture,1019,IL
ART,Chicago,ART,Scholarship,7316,2010,Linguistics,1324,IL
ART,Chicago,ART,Scholarship,8196,2010,Apparel and Textiles,1325,IL
ART,Chicago,NAT,Scholarship,2429,2010,Genomics & Molecular Genetics,1066,IL
DIV,Chicago,NUR,Endowment,1858,2010,Prenursing,1214,IL
FCE,Chicago,AGR,Endowment,2587,2010,Landscape Architecture,1033,IL
FCE,Chicago,NUR,Endowment,5715,2010,Prenursing,1624,IL
MSM,Chicago,SOC,Campus_Resource,8674,2010,Geographic Information Science,1405,IL
MUS,Chicago,SOC,Scholarship,4777,2010,Sociology,1459,IL
NAT,Chicago,AGR,Scholarship,1553,2010,Environmental Economics and Policy,1229,IL
NAT,Chicago,EDU,Scholarship,9332,2010,Kinesiology,1155,IL
PAR,Chicago,BIZ,Campus_Resource,4065,2010,Accounting,1128,IL
TST,Chicago,MUS,Endowment,8933,2010,Jazz Studies,1281,IL
AGR,Cincinnati,ART,Scholarship,7284,2010,Global Studies in the Arts and Humanities,1658,OH
AGR,Cincinnati,BIZ,Scholarship,1960,2010,Human Resource Management,1454,OH
AGR,Cincinnati,COM,Scholarship,5342,2010,Media and Information,1792,OH
AGR,Cincinnati,NAT,Scholarship,6195,2010,Predental,1058,OH
ALM,Cincinnati,MUS,Campus_Resource,9804,2010,Composition,1243,OH
ALM,Cincinnati,NAT,Campus_Resource,91,2010,Earth Science Interdepartmental,1092,OH
ALM,Cincinnati,SOC,Campus_Resource,6377,2010,Public Policy,1044,OH
ART,Cincinnati,BIZ,Scholarship,5459,2010,Marketing,1356,OH
ART,Cincinnati,NUR,Scholarship,8476,2010,Prenursing,1403,OH
ENG,Cincinnati,ENG,Scholarship,2015,2010,Computer Science,1032,OH
HON,Cincinnati,SOC,Campus_Resource,7196,2010,History,1053,OH
NUR,Cincinnati,MUS,Scholarship,6334,2010,Composition,1197,OH
PAR,Cincinnati,ART,Campus_Resource,171,2010,Theatre,1844,OH
TST,Cincinnati,COM,Endowment,1778,2010,Journalism,1174,OH
VET,Cincinnati,NAT,Scholarship,4821,2010,Plant Biology,1039,OH
ALM,Cleveland,ART,Campus_Resource,9273,2010,Interdisciplinary Humanities,1265,OH
ANN,Cleveland,COM,Endowment,6384,2010,Journalism,1045,OH
ART,Cleveland,BIZ,Scholarship,1001,2010,General Management,1210,OH
ART,Cleveland,MUS,Scholarship,4187,2010,Composition,1739,OH
ART,Cleveland,POL,Scholarship,600,2010,College of Political Science,1192,OH
AGR,Colorado_Springs,BIZ,Scholarship,7730,2010,Accounting,1349,CO
FCE,Colorado_Springs,AGR,Endowment,1793,2010,Agriculture and Natural Resources-No Preference,1020,CO
FCE,Colorado_Springs,NAT,Endowment,643,2010,Human Biology,1497,CO
ISF,Colorado_Springs,NAT,Scholarship,5546,2010,Environmental Biology/Microbiology,1395,CO
PAR,Colorado_Springs,ART,Campus_Resource,9066,2010,German,1597,CO
PAR,Colorado_Springs,ART,Campus_Resource,1720,2010,French,1601,CO
AGR,Columbia,ART,Scholarship,3539,2010,Arabic,1711,SC
ART,Columbia,ART,Scholarship,9232,2010,Apparel and Textile Design,1331,SC
ART,Columbia,SOC,Scholarship,5955,2010,Criminal Justice,1249,SC
FCE,Columbia,SOC,Endowment,5914,2010,Sociology,1385,SC
TST,Columbia,SOC,Endowment,7871,2010,Geography,1408,SC
ANN,Dallas,AGR,Endowment,1321,2010,Horticulture,1375,TX
ANN,Dallas,ART,Endowment,2031,2010,Chinese,1436,TX
ANN,Dallas,SOC,Endowment,427,2010,Political Science-Prelaw,1860,TX
BIZ,Dallas,BIZ,Scholarship,6051,2010,Human Resource Management,1130,TX
MSM,Dallas,POL,Campus_Resource,9370,2010,College of Political Science,1867,TX
TST,Dallas,NAT,Endowment,3349,2010,Chemistry,1126,TX
TST,Dallas,SOC,Endowment,7782,2010,Sociology,1764,TX
AGR,Denver,AGR,Scholarship,7860,2010,Landscape Architecture,1158,CO
AGR,Denver,AGR,Scholarship,13179,2010,Animal Science,1452,CO
AGR,Denver,EDU,Scholarship,1800,2010,Special Education-Learning Disabilities,1323,CO
AGR,Denver,NAT,Scholarship,12661.5,2010,Environmental Biology/Zoology,1648,CO
AGR,Denver,NAT,Scholarship,10797,2010,"Mathematics, Advanced",1309,CO
AGR,Denver,SOC,Scholarship,6933,2010,History Education,1271,CO
ANN,Denver,ART,Endowment,2718,2010,Art Education,1595,CO
ANN,Denver,EDU,Endowment,13920,2010,Athletic Training,1222,CO
ANN,Denver,EDU,Endowment,7663.5,2010,Kinesiology,1218,CO
ANN,Denver,ENG,Endowment,11659.5,2010,Applied Engineering Sciences,1230,CO
ANN,Denver,NAT,Endowment,5281.5,2010,Environmental Biology/Zoology,1096,CO
ANN,Denver,NAT,Endowment,14433,2010,Biological Science Interdepartmental,1345,CO
ANN,Denver,NAT,Endowment,517.5,2010,"Mathematics, Advanced",1632,CO
ANN,Denver,NUR,Endowment,7341,2010,Summer Research Program,1203,CO
ART,Denver,ART,Scholarship,13507.5,2010,Spanish,1253,CO
ART,Denver,ENG,Scholarship,2350.5,2010,Electrical Engineering,1599,CO
ART,Denver,NAT,Scholarship,12888,2010,Preoptometry,1173,CO
ART,Denver,SOC,Scholarship,6027,2010,Geography,1189,CO
ATH,Denver,ART,Campus_Resource,6054,2010,Japanese,1115,CO
BIZ,Denver,NAT,Scholarship,2695.5,2010,Neuroscience,1151,CO
DIV,Denver,VET,Endowment,4993.5,2010,Preveterinary,1368,CO
ENG,Denver,NAT,Scholarship,3829.5,2010,Environmental Biology/Microbiology,1607,CO
